"nivel","cond_act","sexo","edad","p7_3","p4","p5"
4,1,1,45,600,3,4
7,1,1,37,600,2,4
2,1,1,45,120,3,4
3,7,2,36,160,2,4
7,1,2,25,500,4,4
7,8,2,79,150,3,4
7,1,1,54,3000,12,4
8,8,1,81,3000,8,4
2,8,1,73,250,1,4
7,1,2,49,300,1,4
7,1,1,26,1200,2,4
2,8,1,61,700,4,4
4,7,2,68,1200,1,4
2,3,2,39,180,6,4
7,7,1,25,20,1,4
7,1,1,25,200,3,4
8,1,1,33,700,4,4
8,1,2,41,500,2,4
7,1,2,59,1000,3,4
3,1,1,65,200,5,4
4,1,2,27,400,2,4
7,1,1,48,1800,8,4
7,7,2,36,600,3,4
2,7,2,73,2000,4,4
4,1,1,48,300,1,4
7,1,1,27,300,1,4
7,4,1,26,800,5,4
7,8,1,79,450,1,4
4,2,1,66,1200,6,4
4,7,2,54,400,2,4
4,1,1,66,150,1,4
7,1,1,60,250,1,4
2,1,2,21,300,3,4
7,1,2,23,900,3,4
6,1,2,48,600,3,4
4,1,1,39,200,1,4
4,7,2,55,600,2,4
3,7,2,56,200,2,4
4,1,1,31,300,3,4
7,1,1,57,500,2,4
2,7,2,50,89,2,4
2,1,1,40,600,2,4
7,1,2,64,1000,3,4
8,1,1,64,800,30,4
7,1,1,34,1200,2,4
2,1,2,29,300,2,4
4,1,2,44,1500,1,4
3,7,2,25,300,2,4
7,7,2,31,300,2,4
7,1,1,29,1000,3,4
4,6,2,20,10000,45,4
7,1,2,32,300,6,4
4,4,1,19,500,4,4
4,7,2,49,200,1,4
7,6,2,20,600,2,4
3,1,1,25,500,2,4
4,1,2,48,45,3,4
7,1,2,44,1600,4,4
7,1,2,25,800,3,4
4,7,2,25,10,1,4
4,7,2,43,500,2,4
8,1,2,46,1000,5,4
7,1,1,31,600,3,4
4,7,2,25,100,4,4
3,8,1,63,250,2,4
3,7,2,59,100,1,4
4,7,2,35,70,1,4
7,7,2,30,600,5,4
2,1,2,65,50,1,4
4,1,1,50,150,1,4
7,1,1,56,100,2,4
3,1,1,43,500,3,4
7,1,1,33,300,3,4
4,1,1,20,500,8,4
3,1,1,38,300,4,4
3,7,2,18,300,2,4
7,1,2,29,1200,5,4
3,1,2,38,400,3,4
7,1,1,29,120000,24,4
6,1,2,48,120,1,4
7,6,1,21,299,2,4
3,3,1,56,450,3,4
3,1,2,36,300,3,4
7,1,2,65,300,3,4
7,6,1,21,650,2,4
7,1,2,33,500,2,4
4,1,1,24,400,1,4
7,1,1,27,500,3,4
7,1,1,30,1900,8,4
7,1,1,37,500,3,4
5,1,1,59,300,1,4
3,1,2,36,200,3,4
4,3,1,26,370,1,4
7,7,2,58,500,3,4
4,1,1,27,5000,40,4
4,6,2,22,2000,3,4
3,1,2,24,1500,2,4
6,1,2,42,30,4,4
8,8,1,67,1200,2,4
3,7,2,32,200,1,4
7,1,1,22,800,4,4
3,1,2,26,100,1,4
8,1,2,31,1500,4,4
2,1,2,38,1500,5,4
9,8,1,70,800,40,4
7,1,1,30,1000,7,4
4,7,2,69,150,1,4
3,1,1,21,240,2,4
7,1,2,32,800,2,4
8,4,2,43,1300,4,4
4,6,2,20,2500,6,4
8,1,1,39,7000,24,4
7,1,2,60,8000,30,4
7,1,1,54,450,1,4
4,1,1,54,100,2,4
7,1,1,26,1000,2,4
7,8,2,61,600,4,4
7,1,1,40,800,3,4
4,1,2,25,400,4,4
7,7,2,30,850,2,4
6,1,2,46,350,1,4
4,7,2,38,200,1,4
3,1,2,34,100,2,4
7,8,1,59,500,2,4
2,7,2,69,100,5,4
7,1,1,28,300,1,4
7,1,2,35,170,1,4
3,1,2,34,40,1,4
7,8,2,62,150,3,4
9,1,1,69,9999,20,4
6,4,2,25,900,3,4
4,4,1,40,3500,15,4
7,8,2,69,600,3,4
7,1,2,27,600,2,4
7,1,1,26,1000,4,4
7,1,2,25,1200,3,4
7,7,2,26,250,2,4
7,8,2,68,1000,3,4
2,1,1,46,40,2,4
7,8,2,65,700,2,4
7,1,1,40,500,3,4
7,1,1,55,210,3,4
4,1,1,22,500,2,4
4,7,2,35,400,2,4
7,1,1,26,800,2,4
7,1,2,37,200,2,4
7,1,1,29,1200,4,4
4,7,2,48,1500,10,4
7,1,1,55,3000,8,4
7,1,2,32,800,6,4
6,7,2,43,200,1,4
3,7,2,50,125,1,4
9,8,1,68,3500,3,4
7,1,2,38,500,2,4
4,1,1,57,900,3,4
6,7,2,47,300,3,4
4,1,2,19,250,2,4
7,1,2,60,1500,4,4
8,1,2,76,3000,3,4
7,1,1,56,400,2,4
3,1,1,66,20,1,4
7,1,2,54,600,4,4
7,1,2,58,1300,5,4
8,8,2,58,100,1,4
8,1,2,33,300,1,4
4,1,1,27,800,3,4
4,1,2,38,600,3,4
8,1,1,40,300,2,4
6,1,2,49,200,3,4
8,1,2,61,350,1,4
4,7,2,56,300,2,4
8,7,2,40,400,2,4
7,1,1,39,1000,3,4
8,1,1,54,600,2,4
7,4,2,27,200,1,4
7,1,1,58,380,1,4
4,1,2,41,500,2,4
3,8,2,58,550,2,4
6,8,1,76,200,2,4
7,1,2,29,2000,8,4
7,1,1,73,2000,6,4
4,1,1,29,1000,2,4
7,1,1,42,3000,30,4
7,6,2,22,1500,15,4
7,1,1,24,4000,6,4
4,1,2,29,300,2,4
7,1,2,23,750,3,4
3,1,2,31,300,2,4
6,1,1,44,800,2,4
7,1,1,27,150,2,4
7,7,2,64,300,3,4
7,1,2,48,1500,8,4
7,1,2,45,1000,3,4
7,1,2,26,500,3,4
3,7,2,68,280,1,4
2,8,1,79,660,12,4
7,1,1,51,1500,6,4
4,1,2,57,1000,12,4
4,7,2,44,250,2,4
8,1,2,44,1200,5,4
4,1,2,26,1000,2,4
7,6,2,25,750,5,4
7,6,1,26,230,3,4
4,1,1,53,200,2,4
3,7,2,44,240,2,4
7,1,1,48,500,6,4
7,1,2,36,4000,6,4
7,1,1,40,260,1,4
7,7,2,46,570,5,4
7,1,1,40,1200,6,4
8,1,2,40,700,3,4
3,1,1,21,700,6,4
4,1,2,31,250,2,4
8,1,1,32,250,1,4
8,8,2,70,500,1,4
7,1,1,67,300,1,4
4,1,1,26,1500,3,4
8,1,1,49,800,4,4
7,1,2,36,3000,12,4
2,8,2,68,60,4,4
3,7,2,39,400,2,4
4,1,2,18,1000,5,4
8,1,2,34,1500,6,4
8,1,1,50,300,1,4
8,1,1,71,3000,10,4
7,8,2,68,150,1,4
7,7,2,41,300,2,4
3,1,2,40,180,1,4
7,1,1,44,200,2,4
4,1,2,31,150,1,4
7,1,1,28,150,1,4
7,1,2,25,390,2,4
7,1,1,34,1200,5,4
3,8,1,73,320,4,4
7,1,1,30,1300,8,4
4,1,1,20,100,2,4
9,1,1,44,2000,4,4
8,1,2,43,200,2,4
6,8,2,59,350,2,4
3,1,1,30,600,5,4
4,1,1,20,200,1,4
7,6,2,25,220,1,4
6,1,2,63,120,4,4
6,1,2,46,350,1,4
4,1,2,18,80,1,4
7,1,1,31,400,2,4
7,1,1,35,300,1,4
6,1,2,34,150,3,4
7,1,1,27,2500,4,4
4,1,1,35,1500,5,4
7,1,2,33,1500,4,4
2,1,1,78,360,2,4
7,1,2,45,1500,5,4
8,1,2,41,1000,3,4
7,1,2,47,1500,5,4
7,6,1,23,1000,3,4
7,6,1,23,300,2,4
4,1,2,20,900,5,4
7,1,2,45,1000,3,4
6,7,2,46,100,7,4
8,1,1,44,1500,6,4
7,1,1,45,600,3,4
4,1,1,27,200,1,4
8,7,2,48,120,1,4
7,5,2,24,300,2,4
4,7,2,27,200,2,4
7,1,2,29,100,1,4
9,1,1,70,3000,15,4
7,4,2,50,200,1,4
7,1,2,43,1200,3,4
7,7,2,47,700,3,4
3,7,2,27,150,4,4
3,7,2,70,300,1,4
7,1,2,64,750,4,4
3,7,2,47,80,1,4
6,1,2,64,120,1,4
7,1,2,33,400,2,4
3,1,1,35,1000,5,4
4,1,1,34,500,2,4
3,7,2,33,300,3,4
7,1,2,33,600,3,4
2,7,2,52,100,2,4
6,1,2,20,1600,4,4
7,1,2,44,600,3,4
7,1,2,41,180,1,4
7,1,2,39,1000,3,4
7,8,2,63,500,2,4
7,1,2,39,600,4,4
7,1,1,43,5000,10,4
7,1,1,39,500,1,4
7,1,2,23,200,3,4
6,7,2,57,950,3,4
7,1,2,66,900,2,4
7,1,2,32,2000,2,4
7,1,1,31,200,2,4
7,4,2,25,100,1,4
7,1,1,38,400,4,4
2,7,2,43,400,3,4
3,1,1,21,550,2,4
8,9,1,66,400,1,4
8,1,1,39,5000,8,4
7,7,2,40,2500,8,4
7,7,2,30,219,2,4
7,8,2,76,250,2,4
7,1,2,30,600,1,4
4,1,2,32,600,2,4
3,1,1,52,600,2,4
4,1,1,30,800,3,4
7,1,1,64,400,3,4
7,1,1,25,5000,7,4
4,1,2,29,1200,3,4
3,1,1,30,300,3,4
7,1,2,41,900,3,4
3,7,2,29,700,2,4
8,7,2,65,4000,10,4
7,1,1,54,400,2,4
8,1,1,62,200,4,4
3,4,2,29,30,1,4
3,8,1,73,150,1,4
7,7,2,53,300,2,4
7,6,2,26,2000,7,4
7,1,1,23,160,1,4
4,1,1,53,1000,3,4
3,7,2,36,50,2,4
4,1,2,30,200,4,4
3,7,2,45,350,2,4
8,1,2,41,400,1,4
7,1,2,47,300,1,4
2,1,1,51,180,6,4
7,1,1,63,300,1,4
7,8,1,67,500,2,4
2,8,2,71,2000,2,4
7,1,2,35,2000,15,4
7,1,2,30,500,2,4
8,1,1,56,500,1,4
7,1,1,26,450,1,4
3,7,2,40,600,2,4
4,6,2,19,1000,5,4
7,7,2,49,300,1,4
7,1,2,52,600,5,4
2,7,2,49,200,2,4
7,1,1,50,1500,5,4
7,1,1,40,2000,4,4
3,1,1,58,500,3,4
7,6,1,19,800,4,4
7,7,2,25,1500,5,4
7,1,1,47,400,6,4
7,1,1,37,700,2,4
6,7,2,58,220,2,4
6,7,2,58,40,2,4
7,1,1,44,500,2,4
7,1,2,33,700,4,4
4,1,2,32,150,1,4
4,1,2,50,1800,4,4
4,1,1,20,700,2,4
7,1,2,41,100,1,4
7,1,1,23,5000,15,4
7,1,2,26,800,2,4
6,1,2,29,1200,3,4
7,1,1,46,500,5,4
6,2,2,64,900,3,4
4,7,1,34,150,1,4
7,1,1,32,1600,8,4
7,1,1,37,400,1,4
4,1,2,30,150,2,4
7,1,1,23,450,2,4
7,1,1,28,400,1,4
7,1,2,46,400,3,4
4,1,1,26,700,3,4
7,1,2,30,300,1,4
6,8,1,61,150,1,4
6,1,2,26,250,2,4
7,8,2,67,500,4,4
7,1,2,31,1300,12,4
6,1,2,60,120,1,4
4,1,2,19,200,1,4
3,1,2,30,1400,15,4
8,1,1,45,2200,5,4
7,8,1,83,400,3,4
7,6,2,33,1000,10,4
3,7,2,54,500,1,4
7,1,1,37,1100,3,4
4,8,2,60,300,1,4
2,1,2,27,1500,4,4
8,1,1,31,400,2,4
7,7,2,40,600,3,4
8,1,2,33,3000,5,4
7,1,2,23,3000,50,4
6,4,1,37,150,1,4
2,7,2,76,250,3,4
