"nivel","cond_act","sexo","edad","p7_3","p4","p5"
7,1,1,40,500,3,4
7,1,1,55,210,3,4
4,1,1,22,500,2,4
4,7,2,35,400,2,4
7,1,1,26,800,2,4
7,1,2,37,200,2,4
7,1,1,29,1200,4,4
4,7,2,48,1500,10,4
7,1,1,55,3000,8,4
7,1,2,32,800,6,4
6,7,2,43,200,1,4
3,7,2,50,125,1,4
9,8,1,68,3500,3,4
7,1,2,38,500,2,4
4,1,1,57,900,3,4
6,7,2,47,300,3,4
4,1,2,19,250,2,4
7,1,2,60,1500,4,4
8,1,2,76,3000,3,4
7,1,1,56,400,2,4
3,1,1,66,20,1,4
7,1,2,54,600,4,4
7,1,2,58,1300,5,4
8,8,2,58,100,1,4
8,1,2,33,300,1,4
4,1,1,27,800,3,4
4,1,2,38,600,3,4
8,1,1,40,300,2,4
6,1,2,49,200,3,4
8,1,2,61,350,1,4
4,7,2,56,300,2,4
8,7,2,40,400,2,4
7,1,1,39,1000,3,4
8,1,1,54,600,2,4
7,4,2,27,200,1,4
7,1,1,58,380,1,4
4,1,2,41,500,2,4
3,8,2,58,550,2,4
6,8,1,76,200,2,4
7,1,2,29,2000,8,4
7,1,1,73,2000,6,4
4,1,1,29,1000,2,4
7,1,1,42,3000,30,4
7,6,2,22,1500,15,4
7,1,1,24,4000,6,4
4,1,2,29,300,2,4
7,1,2,23,750,3,4
3,1,2,31,300,2,4
6,1,1,44,800,2,4
7,1,1,27,150,2,4
7,7,2,64,300,3,4
7,1,2,48,1500,8,4
7,1,2,45,1000,3,4
7,1,2,26,500,3,4
3,7,2,68,280,1,4
2,8,1,79,660,12,4
7,1,1,51,1500,6,4
4,1,2,57,1000,12,4
4,7,2,44,250,2,4
8,1,2,44,1200,5,4
4,1,2,26,1000,2,4
7,6,2,25,750,5,4
7,6,1,26,230,3,4
4,1,1,53,200,2,4
3,7,2,44,240,2,4
7,1,1,48,500,6,4
7,1,2,36,4000,6,4
7,1,1,40,260,1,4
7,7,2,46,570,5,4
7,1,1,40,1200,6,4
8,1,2,40,700,3,4
3,1,1,21,700,6,4
4,1,2,31,250,2,4
8,1,1,32,250,1,4
8,8,2,70,500,1,4
7,1,1,67,300,1,4
4,1,1,26,1500,3,4
8,1,1,49,800,4,4
7,1,2,36,3000,12,4
2,8,2,68,60,4,4
3,7,2,39,400,2,4
4,1,2,18,1000,5,4
8,1,2,34,1500,6,4
8,1,1,50,300,1,4
8,1,1,71,3000,10,4
7,8,2,68,150,1,4
7,7,2,41,300,2,4
3,1,2,40,180,1,4
7,1,1,44,200,2,4
4,1,2,31,150,1,4
7,1,1,28,150,1,4
7,1,2,25,390,2,4
7,1,1,34,1200,5,4
3,8,1,73,320,4,4
7,1,1,30,1300,8,4
4,1,1,20,100,2,4
9,1,1,44,2000,4,4
8,1,2,43,200,2,4
6,8,2,59,350,2,4
3,1,1,30,600,5,4
4,1,1,20,200,1,4
7,6,2,25,220,1,4
6,1,2,63,120,4,4
6,1,2,46,350,1,4
4,1,2,18,80,1,4
7,1,1,31,400,2,4
7,1,1,35,300,1,4
6,1,2,34,150,3,4
7,1,1,27,2500,4,4
4,1,1,35,1500,5,4
7,1,2,33,1500,4,4
2,1,1,78,360,2,4
7,1,2,45,1500,5,4
8,1,2,41,1000,3,4
7,1,2,47,1500,5,4
7,6,1,23,1000,3,4
7,6,1,23,300,2,4
4,1,2,20,900,5,4
7,1,2,45,1000,3,4
6,7,2,46,100,7,4
8,1,1,44,1500,6,4
7,1,1,45,600,3,4
4,1,1,27,200,1,4
8,7,2,48,120,1,4
7,5,2,24,300,2,4
4,7,2,27,200,2,4
7,1,2,29,100,1,4
9,1,1,70,3000,15,4
7,4,2,50,200,1,4
7,1,2,43,1200,3,4
7,7,2,47,700,3,4
3,7,2,27,150,4,4
3,7,2,70,300,1,4
7,1,2,64,750,4,4
3,7,2,47,80,1,4
